species	sp	duration	grass	legume	herb	func_grp	indicator	nat_exo	status	rare
"Einadia nutans"	Ein_nut	Perennial	0	0	1	Herb	C	N	NA	NA
"Eleocharis acuta"	Ele_acu	Perennial	0	0	1	Herb	NA	N	NA	NA
"Eleocharis sp."	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Eleusine tristachya"	Ele_tri	Perennial	1	0	0	C4	NA	E	NA	NA
"Enneapogon nigricans"	Enn_nig	Perennial	1	0	0	C4	C	N	NA	NA
"Epilobium billardiereanum"	Epi_bil	Perennial	0	0	1	Herb	C	N	NA	NA
"Epilobium sp. 2"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Epilobium spp"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Eragrostis brownii"	Era_bro	Perennial	1	0	0	C4	C	N	NA	NA
"Eragrostis curvula"	Era_cur	Perennial	1	0	0	C4	NA	E	NA	NA
"Eragrostis sp (Tall ALG)"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Eragrostis sp. (native)"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Erodium brachycarpum"	Ero_bra	Annual	0	0	1	Herb	NA	E	NA	NA
"Erodium cicutarium"	Ero_cic	Annual	0	0	1	Herb	NA	E	NA	NA
"Erodium crinitum"	Ero_cri	Annual	0	0	1	Herb	NA	N	NA	NA
"Erodium sp."	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Eryngium ovinum"	Ery_ovi	Annual	0	0	1	Herb	2	N	I	NA
"Euchiton involucratus"	Euc_inv	Perennial	0	0	1	Herb	C	N	NA	NA
"Euchiton japonicus"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Euchiton sp. (native)"	Euc_sp.	NA	0	0	1	Herb	C	N	NA	NA
"Euchiton sphaericus"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Euphorbia dallachyana"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Festuca arundinacea"	Fes_aru	Perennial	1	0	0	C3	NA	E	NA	NA
"Festuca sp."	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Galium divaricatum"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
