Species	Sp	Duration	Grass	Legume	Herb	func_grp	Significance	Status	Indicator	rare			
"""Dodonaea viscosa"""	Dod_vis	Perennial	0	0	0	Woody_shrub	A	N	1	NA			
"""Drosera auriculata"""	Dro_aur	Perennial	0	0	1	Herb	A	N	1	NA			
"""Drosera peltata"""	Dro_pel	Perennial	0	0	1	Herb	A	N	1	NA			
"""Dysphania pumiilo (Chenopodium)"""	Dys_pum	Annual	0	0	1	Herb	C	N	NA	NA			
"""Echinopogon caespitosum"""	Ech_cae	Perennial	1	0	0	C3	C	N	NA	NA			
"""Echium plantagineum"""	Ech_pla	Annual	0	0	1	Herb	Y	E	NA	NA			
"""Echium vulgare"""	Ech_vul	Annual	0	0	1	Herb	Y	E	NA	NA			
"""Einadia nutans"""	Ein_nut	Perennial	0	0	1	Herb	B	N	1	NA			
"""Eleocharis acuta"""	Ele_acu	Perennial	0	0	1	Herb	C	N	NA	NA			
"""Eleocharis sp. """	Elo_sp	Annual_Perennial	0	0	1	Herb	C	N	NA	NA			
"""Eleusine tristachya"""	Ele_tri	Perennial	1	0	0	C4	Z	E	NA	NA			
"""Enneapogon nigricans"""	Enn_nig	Perennial	1	0	0	C4	C	N	NA	NA			
"""Epilobium billardiereanum"""	Epi_bil	Perennial	0	0	1	Herb	B	N	1	NA			
"""Epilobium spE"""	Epi_spE	Perennial	0	0	1	Herb	Z	E	NA	NA			
"""Epilobium spN"""	Epi_spN	Perennial	0	0	1	Herb	NA	N	NA	NA			
"""Epilobium spp """	Epi_spp	Perennial	0	0	1	Herb	NA	E	NA	NA			
"""Eragrostis brownii"""	Era_bro	Perennial	1	0	0	C4	C	N	NA	NA			
"""Eragrostis curvula"""	Era_cur	Perennial	1	0	0	C4	X	E	NA	NA			
"""Eragrostis sp. (native)"""	Era_sp.	Perennial	1	0	0	C4	C	N	NA	NA			
"""Eragrostis sp. (Tall ALG)"""	Era_sp.	Perennial	1	0	0	C4	NA	E	NA	NA			
"""Erodium brachycarpum"""	Ero_bra	Annual	0	0	1	Herb	Z	E	NA	NA			
"""Erodium cicutarium"""	Ero_cic	Annual	0	0	1	Herb	Z	E	NA	NA			
"""Erodium crinitum"""	Ero_cri	Annual	0	0	1	Herb	C	N	NA	NA			
"""Erodium sp."""	Ero_sp	Annual	0	0	1	Herb	Z	E	NA	NA			
"""Eryngium ovinum"""	Ery_ovi	Annual	0	0	1	Herb	A	N	1	NA			
"""Euchiton involucratus"""	Euc_inv	Perennial	0	0	1	Herb	C	N	NA	NA			
"""Euchiton japonicus """	Euc_jap	Perennial	0	0	1	Herb	C	N	NA	NA			
"""Euchiton sp. (native)"""	Euc_sp.	Perennial	0	0	1	Herb	C	N	NA	NA			
"""Euchiton sphaericus"""	Euc_sph	Annual	0	0	1	Herb	C	N	NA	NA			
"""Euphorbia dallachyana """	Eup_dal	Perennial	0	0	1	Herb	C	N	NA	NA			
"""Festuca arundinacea"""	Fes_aru	Perennial	1	0	0	C3	X	E	NA	NA			
"""Festuca sp. """	Fet_sp	Perennial	1	0	0	C3	X	E	NA	NA			
"""Galium gaudichaudii  """	Gal_gau	Perennial	0	0	1	Herb	A	N	1	NA			
"""Galium sp (exotic) """	Gal_sp(exotic)	Annual	0	0	1	Herb	Z	E	NA	NA			
