Species	Sp	Duration	Grass	Legume	Herb	func_grp	Significance	Status	Indicator	rare
"Sanguisorba minor"	San_min	Perennial	0	0	1	Herb	Y	E	NA	NA
"Schoenus apogon"	Sch_apo	Annual	0	0	0	Sedge_Rush	C	N	NA	NA
"Senecio sp."	Sen_sp.	Perennial	0	0	1	Herb	C	N	NA	NA
"Solenogyne dominii"	Sol_dom	Perennial	0	0	1	Herb	C	N	NA	NA
"Sonchus oleruceus"	Son_ole	Annual	0	0	1	Herb	Z	E	NA	NA
"Sonchus sp."	Son_sp.	Annual	0	0	1	Herb	Z	E	NA	NA
"Themeda triandra"	The_tri	Perennial	1	0	0	C4	A	N	1	NA
"Tolpis barbata"	Tol_bar	Annual	0	0	1	Herb	Z	E	NA	NA
"Tragopogon porrifolius"	Tra_por	Annual	0	0	1	Herb	Y	E	NA	NA
"Tricoryne elatior"	Tri_ela	Perennial	0	0	1	Herb	A	N	1	NA
"Trifolium arvense"	Tri_arv	Annual	0	1	1	Leguminous_herb	Z	E	NA	NA
"Trifolium campestre"	Tri_cam	Annual	0	1	1	Leguminous_herb	Z	E	NA	NA
"Trifolium dubium"	Tri_dub	Annual	0	1	1	Leguminous_herb	Z	E	NA	NA
"Trifolium glomeratum"	Tri_glo	Annual	0	1	1	Leguminous_herb	Z	E	NA	NA
"Trifolium sp."	Tri_sp.	Annual	0	1	1	Leguminous_herb	Z	E	NA	NA
"Trifolium striatum"	Tri_str	Annual	0	1	1	Leguminous_herb	Z	E	NA	NA
"Trifolium subterraneum"	Tri_sub	Annual	0	1	1	Leguminous_herb	Y	E	NA	NA
"Triptilodiscus pygmaeus"	Tri_pyg	Annual	0	0	1	Herb	B	N	1	NA
"Vittadinia cuneata"	Vit_cun	Annual	0	0	1	Herb	B	N	1	NA
"Vittadinia gracilis"	Vit_gra	Perennial	0	0	0	Woody_shrub	B	N	1	NA
"Vittadinia green cuneata"	Vit_gre	Annual	0	0	1	Herb	B	N	1	NA
"Vittadinia muelleri"	Vit_mue	Perennial	0	0	1	Herb	B	N	1	NA
"Vulpia sp."	Vul_sp.	Annual	1	0	0	C3	Z	E	NA	NA
"Wahlenbergia communis"	Wah_com	Perennial	0	0	1	Herb	B	N	1	NA
"Wahlenbergia luteola"	Wah_lut	Perennial	0	0	1	Herb	B	N	1	NA
"Wahlenbergia sp. 2"	Wah_sp2	Perennial	0	0	1	Herb	C	N	NA	NA
"Wahlenbergia sp."	Wah_sp.	Perennial	0	0	1	Herb	B	N	1	NA
"Wahlenbergia stricta"	Wah_str	Perennial	0	0	1	Herb	B	N	1	NA
"Wurmbea dioica"	Wur_dio	Perennial	0	0	1	Herb	A	N	1	NA
"Zornia dyctocarpa"	Zor_dyc	Perennial	0	1	1	Leguminous_herb	A	N	1	R
