Species	Sp	Duration	Grass	Legume	Herb	func_grp	Significance	Status	Indicator	rare
"""Lomandra filiformis"""	Lom_fil	Perennial	0	0	1	Herb	A	N	1	NA
"""Lomandra multiflora"""	Lom_mul	Perennial	0	0	1	Herb	A	N	1	NA
"""Lythrum hyssopifolia"""	Lyt_hys	Annual	0	0	1	Herb	C	N	0	NA
"""Microlaena stipoides"""	Mic_sti	Perennial	1	0	0	C3	C	N	0	NA
"""Microtis sp"""	Mic_sp.	Perennial	0	0	1	Herb	A	N	1	NA
"""Myosotis discolor"""	Myo_dis	Annual	0	0	1	Herb	Z	E	0	NA
"""Nassella trichotoma"""	Nas_tri	Perennial	1	0	0	C3	X	E	0	NA
"""Oxalis perennans"""	Oxa_per	Perennial	0	0	1	Herb	C	N	0	NA
"""Panicum effusum"""	Pan_eff	Perennial	1	0	0	C4	C	N	0	NA
"""Petrorhagia nanteuilii"""	Pet_nan	Annual	0	0	1	Herb	Z	E	0	NA
"""Pimelia curviflora"""	Pim_cur	Perennial	0	0	0	Woody_shrub	A	N	1	NA
"""Plantago lanceolata"""	Pla_lan	Annual	0	0	1	Herb	Y	E	0	NA
"""Plantago varia"""	Pla_var	Perennial	0	0	1	Herb	A	N	1	NA
"""Poa sieberiana"""	Poa_sie	Perennial	1	0	0	C3	A	N	1	NA
"""Psilurus incurvus"""	Psi_inc	Annual	1	0	0	NA	Z	E	0	NA
"""Rumex brownii"""	Rum_bro	Perennial	0	0	1	Herb	C	N	0	NA
"""Rytidosperma caespitosum"""	Ryt_cae	Perennial	1	0	0	C3	C	N	0	NA
"""Rytidosperma carphoides"""	Ryt_car	Perennial	1	0	0	C3	C	N	0	NA
"""Rytidosperma laevis"""	Ryt_lae	Perennial	1	0	0	C3	C	N	0	NA
"""Rytidosperma racemosum"""	Ryt_rac	Perennial	1	0	0	C3	C	N	0	NA
"""Rytidosperma sp """	Ryt_sp.	Perennial	1	0	0	C3	C	N	0	NA
"""Rytidosperma sp 3. large"""	Ryt_sp3	Perennial	1	0	0	C3	C	N	0	NA
"""Rytidosperma sp. 4 """	Ryt_sp4	Perennial	1	0	0	C3	C	N	0	NA
"""Rytidosperma sp2"""	Ryt_sp2	Perennial	1	0	0	C3	C	N	0	NA
"""Sanguisorba minor"""	San_min	Perennial	0	0	1	Herb	Y	E	0	NA
"""Schoenus apogon"""	Sch_apo	Annual	0	0	0	Sedge_Rush	C	N	0	NA
"""Senecio sp."""	Sen_sp.	Perennial	0	0	1	Herb	C	N	0	NA
"""Solenogyne dominii"""	Sol_dom	Perennial	0	0	1	Herb	C	N	0	NA
"""Sonchus oleruceus"""	Son_ole	Annual	0	0	1	Herb	Z	E	0	NA
"""Sonchus sp."""	Son_sp.	Annual	0	0	1	Herb	Z	E	0	NA
"""Themeda triandra"""	The_tri	Perennial	1	0	0	C4	A	N	1	NA
"""Tolpis barbata"""	Tol_bar	Annual	0	0	1	Herb	Z	E	0	NA
"""Tragopogon porrifolius"""	Tra_por	Annual	0	0	1	Herb	Y	E	0	NA
"""Tricoryne elatior"""	Tri_ela	Perennial	0	0	1	Herb	A	N	1	NA
"""Trifolium arvense"""	Tri_arv	Annual	0	1	1	Leguminous_herb	Z	E	0	NA
"""Trifolium campestre"""	Tri_cam	Annual	0	1	1	Leguminous_herb	Z	E	0	NA
"""Trifolium dubium"""	Tri_dub	Annual	0	1	1	Leguminous_herb	Z	E	0	NA
"""Trifolium glomeratum"""	Tri_glo	Annual	0	1	1	Leguminous_herb	Z	E	0	NA
"""Trifolium sp."""	Tri_sp.	Annual	0	1	1	Leguminous_herb	Z	E	0	NA
"""Trifolium striatum"""	Tri_str	Annual	0	1	1	Leguminous_herb	Z	E	0	NA
"""Trifolium subterraneum"""	Tri_sub	Annual	0	1	1	Leguminous_herb	Y	E	0	NA
"""Triptilodiscus pygmaeus"""	Tri_pyg	Annual	0	0	1	Herb	B	N	1	NA
"""Vittadinia cuneata"""	Vit_cun	Annual	0	0	1	Herb	B	N	1	NA
"""Unidentified grass sp."""	Uni_gsp	NA	1	0	0	NA	NA	NA	0	NA
"""Unidentified grass sp. 2"""	Uni_sp2	NA	1	0	0	NA	NA	NA	0	NA
"""Unidentified sp."""	Uni_sp. 	NA	1	0	0	NA	NA	NA	0	NA
"""Vittadinia gracilis"""	Vit_gra	Perennial	0	0	0	Woody_shrub	B	N	1	NA
"""Vittadinia green cuneata"""	Vit_gre	Annual	0	0	1	Herb	B	N	1	NA
"""Vittadinia muelleri"""	Vit_mue	Perennial	0	0	1	Herb	B	N	1	NA
"""Vulpia sp."""	Vul_sp.	Annual	1	0	0	C3	Z	E	0	NA
"""Wahlenbergia communis"""	Wah_com	Perennial	0	0	1	Herb	B	N	1	NA
"""Wahlenbergia luteola"""	Wah_lut	Perennial	0	0	1	Herb	B	N	1	NA
"""Wahlenbergia sp."""	Wah_sp.	Perennial	0	0	1	Herb	B	N	1	NA
"""Wahlenbergia sp. 2"""	Wah_sp2	Perennial	0	0	1	Herb	C	N	0	NA
"""Wahlenbergia stricta"""	Wah_str	Perennial	0	0	1	Herb	B	N	1	NA
"""Wurmbea dioica"""	Wur_dio	Perennial	0	0	1	Herb	A	N	1	NA
"""Zornia dyctocarpa"""	Zor_dyc	Perennial	0	1	1	Leguminous_herb	A	N	1	R
